,Numbers,,,Counter for people,,Counter for age,
numbers,Hiragana,Roman letters,Kanji, Hiragana,Roman letters, Hiragana (Kanji),Roman letters
1,いち,ichi,一人,ひとり,hitori,いっさい（一才）,issai
2,に,ni,二人,ふたり,hutari,にさい,nisai
3,さん,san,三人,さんにん,sannin,さんさい,sansai
4,し/よん,shi/yon,四人,よにん,yonin,よんさい,yonsai
5,ご,go,五人,ごにん,gonin,ごさい,gosai
6,ろく,roku,六人,ろくにん,rokunin,ろくさい,rokusai
7,しち/なな,shichi/nana,七人,しちにん,shichinin,ななさい,nanasai
8,はち,hachi,八人,はちにん,hachinin,はっさい,hassai
9,きゅう,kyuu,九人,きゅうにん,kyuunin,きゅうさい,kyuusai
10,じゅう,jyuu,十人,じゅうにん,jyuunin,じゅっさい,jyussai
11,じゅういち,jyuuichi,十一人,じゅういちにん,jyuuichinin,じゅういっさい,jyuuissai
12,じゅうに,jyuuni,十二人,じゅうににん,jyuuninin,じゅうにさい,jyuunisai
13,じゅうさん,jyuusan,十三人,じゅうさんにん,jyuusannin,じゅうさんさい,jyuusansai
14,じゅうし,jyuushi,十四人,じゅうよにん,jyuuyonin,じゅうよんさい,jyuuyonsai
15,じゅうご,jyuugo,十五人,じゅうごにん,jyuugonin,じゅうごさい,jyuugosai
16,じゅうろく,jyuuroku,十六人,じゅうろくにん,jyuurokunin,じゅうろくさい,jyuurokusai
17,じゅうしち,jyuushichi,十七人,じゅうしちにん,jyuushichinin,じゅうななさい,jyuunanasai
18,じゅうはち,jyuuhachi,十八人,じゅうはちにん,jyuuhachinin,じゅうはっさい,jyuuhassai
19,じゅうく,jyuuku,十九人,じゅうきゅうにん,jyuukyuunin,じゅうきゅうさい,jyuukyuusai
20,にじゅう,nijyuu,二十人,にじゅうにん,nijyuunin,はたち,hatachi