Hiragana,Kanji,Meaning
くち,口,Mouth
め,目,Eye
みみ,耳,Ear
て,手,Hand
あし,足,Leg
からだ,体,Body
ひと/じん,人,Person
き,木,Tree
やすみ,休,To rest
ほん,本,Book
に,日,Sun/day
わたし,私,I/private
じ,自,Oneself
みる,見る,To look
こ,子,Child
おんな,女,Woman
おとこ,男,Man
ちから,力,Power
おんなのこ,女の子,Girl
おとこのこ,男の子,Boy
おんなのひと,女の人,Woman
おとこのひと,男の人,Man
だい,大,Big
ちいさい,小,Small
ちち,父,Father
はは,母,Mother
せん,先,Before
せい,生,Creature/live/to be born
せんせい,先生,Teacher
ど,土,Soil
がつ,月,Month
がくせい,学生,Student
だいがく,大学,University
けんきゅ,研究,Research
けんきゅいん,研究員,Researcher
とも,友,Friend
まい,毎,Every
まいにち,毎日,Everyday
かい,海,Sea
おう,王,King
たま,玉,Jewel
くに,国,Country
ちゅうごく,中国,China (middle country)
おちゃ,茶,Green tea
はな,花,Flower
おばけ,化,Ghost/change
かがく,化学,Chemistry
かいます,買います,To buy
ごめ,米,Rice
きます,来ます,To come
しろ,白,White
かしわ,柏,Oak (white tree)
し,市,City (Out of Tokyo)
く,区,City (In Tokyo)
あね,姉,Elder sister
すんで,住んで,To live